reporter_name,person_involved,incident_date,incident_time,department,incident_description,location,label,was_injured,injury_description
Logan Hughes,Jordan Walker,21 October 2024,18:43,Logistics,"grinder malfunction caused a steel beam to drop, injuring a contractor.",Warehouse A,Accident,Yes,Back strain from improper lifting
Alex Clark,Jordan Morgan,09 June 2024,22:49,Logistics,"Worker fell from ladder while welding, resulting in concussion.",Main Gate Security,Accident,Yes,Foreign object in eye from grinding debris
Morgan Davis,Taylor Murray,17 July 2024,17:59,Logistics,"grinder malfunction caused a steel beam to drop, injuring the operator.",Reception Area,Accident,Yes,Smoke inhalation from fire in electrical bay
Riley Davis,Blake Holmes,22 March 2024,07:09,HR,Exposure to high-voltage wiring led to concussion.,Dry Dock 1,Accident,Yes,Compressed air injury during maintenance
Jesse Kennedy,Sawyer Murray,15 February 2024,17:14,Warehouse,Exposure to high-voltage wiring led to concussion.,Maintenance Shed,Accident,Yes,Smoke inhalation from fire in electrical bay
Alex Robinson,Kai Pearson,11 June 2025,16:31,Facilities,"Worker fell from ladder while repairing the hull, resulting in burns.",Main Gate Security,Accident,Yes,Eye irritation from chemical fumes
Harper Mitchell,Sawyer Morgan,06 October 2024,13:27,Environmental Services,"Worker fell from scaffolding while welding, resulting in a fractured leg.",Reception Area,Accident,Yes,Fractured wrist from fall on wet surface
Emerson Bailey,Kai Robinson,01 January 2025,15:38,Health & Safety,"Worker fell from scaffolding while repairing the hull, resulting in concussion.",Engineering Workshop,Accident,Yes,Severe abrasion from slip on deck
Jesse Lee,Jesse Fisher,27 August 2024,07:41,Facilities,Exposure to asbestos led to concussion.,Cafeteria,Accident,Yes,Fractured ankle due to fall from scaffolding
Reese Pearson,Jesse Reed,19 July 2024,05:01,Ship Maintenance,"Worker fell from ladder while repairing the hull, resulting in burns.",Dockyard North,Accident,Yes,Crush injury to hand from hydraulic press
Jesse Fisher,Dakota Sullivan,22 March 2025,12:26,Training & Development,"forklift malfunction caused a fuel leak, injuring two workers.",Dry Dock 1,Accident,Yes,Foreign object in eye from grinding debris
Sawyer Murray,Sydney Brown,14 June 2024,22:15,Security,Exposure to asbestos led to burns.,Warehouse A,Accident,Yes,Electric shock from faulty wiring
Cameron Mitchell,Rowan West,23 June 2024,19:40,Warehouse,"Worker fell from scaffolding while painting, resulting in concussion.",Dockyard North,Accident,Yes,Heat exhaustion from prolonged outdoor work
Morgan Bailey,Sydney Mitchell,12 September 2024,05:47,Quality Assurance,"forklift malfunction caused a fuel leak, injuring the operator.",Dry Dock 2,Accident,Yes,Dislocated shoulder during equipment maintenance
Skyler Davis,Kai Brown,04 October 2024,04:21,Communications,"Worker fell from ship deck while repairing the hull, resulting in a fractured leg.",Dry Dock 2,Accident,Yes,Chemical burn from solvent exposure
Blake Smith,Jesse Payne,27 June 2025,00:09,Finance,"Worker fell from scaffolding while repairing the hull, resulting in burns.",Warehouse B,Accident,Yes,Fractured ankle due to fall from scaffolding
Finley Graham,Peyton West,16 June 2024,19:15,Training & Development,"grinder malfunction caused a steel beam to drop, injuring two workers.",Training Room,Accident,Yes,Back strain from improper lifting
Reese Pearson,Frankie Walker,26 May 2024,06:55,IT,"crane malfunction caused electrical fire, injuring a contractor.",Tool Crib,Accident,Yes,Minor cuts and bruises
Sydney Clark,Charlie Reed,13 March 2024,12:23,Communications,"Worker fell from scaffolding while welding, resulting in a fractured leg.",Shipyard Pier,Accident,Yes,Severe abrasion from slip on deck
Rowan Fisher,Jesse Holmes,10 May 2024,03:35,Dockyard Operations,"Worker fell from ladder while painting, resulting in a fractured leg.",Warehouse A,Accident,Yes,Laceration from sharp metal panel
Sydney Foster,Spencer Murphy,08 September 2024,14:55,Procurement,"Worker fell from ladder while repairing the hull, resulting in a fractured leg.",Maintenance Shed,Accident,Yes,Puncture wound from misplaced tool
