text
"On 12 March 2025 at 12:33, an incident occurred at Paint Shop. Dislocated shoulder during equipment maintenance Exposure to high-voltage wiring led to concussion. Frankie Smith from the Health & Safety department was involved. The incident was reported by Avery Robinson."
"The incident was reported by Avery Lewis. On 23 November 2024 at 23:41, an incident occurred at Electrical Bay. Peyton Parker from the Dockyard Operations department was involved. Hearing damage from loud machinery Exposure to toxic fumes led to burns."
"Exposure to asbestos led to burns. Minor cuts and bruises The incident was reported by Skyler Parker. Sydney Bailey from the Environmental Services department was involved. On 22 June 2024 at 04:05, an incident occurred at Fleet Garage."
"On 04 May 2025 at 21:10, an incident occurred at Main Gate Security. Fractured wrist from fall on wet surface Finley Lewis from the Legal department was involved. The incident was reported by Jordan Pearson. grinder malfunction caused a steel beam to drop, injuring a contractor."
"Exposure to toxic fumes led to burns. Sawyer Ward from the Communications department was involved. Hearing damage from loud machinery On 30 June 2025 at 06:45, an incident occurred at Main Gate Security. The incident was reported by Kai Clark."
"crane malfunction caused a steel beam to drop, injuring a contractor. The incident was reported by Kai Smith. Puncture wound from misplaced tool Blake Brown from the Finance department was involved. On 11 July 2025 at 02:44, an incident occurred at Tool Crib."
"The incident was reported by Drew Reed. On 09 September 2024 at 11:08, an incident occurred at Tool Crib. Riley Hughes from the Communications department was involved. Compressed air injury during maintenance Exposure to toxic fumes led to burns."
"The incident was reported by Avery Clark. Dakota Smith from the IT department was involved. Electric shock from faulty wiring Worker fell from ladder while welding, resulting in burns. On 31 July 2025 at 10:01, an incident occurred at Fleet Garage."
"The incident was reported by Quinn Mitchell. Kai Morgan from the Quality Assurance department was involved. On 01 April 2025 at 05:26, an incident occurred at Shipyard Pier. Fractured wrist from fall on wet surface grinder malfunction caused electrical fire, injuring a contractor."
"forklift malfunction caused electrical fire, injuring a contractor. Charlie Fisher from the Dockyard Operations department was involved. Fractured wrist from fall on wet surface The incident was reported by Peyton Clark. On 13 May 2025 at 03:02, an incident occurred at Electrical Bay."
"The incident was reported by Kai Brown. Chemical burn from solvent exposure Jordan Walker from the Fleet Management department was involved. grinder malfunction caused electrical fire, injuring two workers. On 08 March 2024 at 17:49, an incident occurred at Warehouse B."
"Dislocated shoulder during equipment maintenance The incident was reported by Harper Robinson. grinder malfunction caused electrical fire, injuring a contractor. On 28 February 2024 at 19:06, an incident occurred at Office - Admin Block. Rowan Johnson from the Engineering department was involved."
"Exposure to high-voltage wiring led to burns. Trip hazard fall resulting in bruising On 01 December 2024 at 11:31, an incident occurred at Maintenance Shed. Avery Holmes from the Warehouse department was involved. The incident was reported by Rowan Bennett."
